iit madras,
iit bombay,
iit delhi,
iit kharagpur,
iit kanpur,
iit roorkee,
iit guwahati,
anna university,
iit hyderabad,
institute of chemical technology, mumbai
nit tiruchirappalli,
jadavpur university,
iit-ism dhanbad,
iit indore,
nit rourkela,
vellore institute of technology,
birla institute of technology & science, pilani
iit bhubaneswar,
iit-bhu,
thapar institute of engineering & technology,
nit surathkal,
iit ropar,
indian institute of space science & technology, thiruvananthapuram
iit patna,
nit warangal,
birla institute of technology jharkhand,
iit gandhinagar,
iit mandi,
psg college of technology, coimbatore
indian institute of engineering science & technology, shibpur
visvesvaraya national institute of technology, nagpur
jamia millia islamia, new delhi
shanmugha arts science technology & research academy, tamil nadu
amity university, uttar pradesh
aligarh muslim university,
sri sivasubramaniya nadar college of engineering, tamil nadu
sathyabama institute of science and technology, chennai
international institute of information technology, hyderabad
manipal institute of technology,
thiagarajar college of engineering, madurai
delhi technological university,
jawaharlal nehru technological university, hyderabad
nit kurukshetra,
national institute of industrial engineering, mumbai
college of engineering, pune
srm institute of science and technology, chennai
nit durgapur,
motilal nehru national institute of technology, allahabad
koneru lakshmaiah education foundation university, andhra pradesh
nit calicut,
kalinga institute of industrial technology, bhubaneswar
malaviya national institute of technology, jaipur
pondicherry engineering college,
iit jodhpur,
maulana azad national institute of technology, bhopal
international institute of information technology bangalore,
nit silchar,
r. v. college of engineering, bengaluru
panjab university,
m. s. ramaiah institute of technology, bengaluru
sardar vallabhbhai national institute of technology, gujarat
coimbatore institute of technology,
defence institute of advanced technology, pune
nit hamirpur,
au college of engineering (visakhapatnam),
indraprastha institute of information technology delhi,
b. m. s. college of engineering, bengaluru
kongu engineering college, tamil nadu
dayalbagh educational institute, uttar pradesh
jaypee institute of information technology, uttar pradesh
sri venkateswara university, andhra pradesh
karunya institute of technology and sciences, coimbatore
pec university of technology, chandigarh
dr. b. r. ambedkar national institute of technology, punjab
college of engineering trivandrum,
bannari amman institute of technology, tamil nadu
vel tech rangarajan dr. sagunthala r & d institute of science and technology, chennai
siddaganga institute of technology, tumkur
b. s. abdur rahman institute of science and technology, chennai
university college of engineering, hyderabad
nit raipur,
kumaraguru college of technology, coimbatore
bharati vidyapeeth deemed university college of engineering, pune
jaypee university of information technology,
sagi ramakrishnam raju engineering college, andhra pradesh
guru gobind singh indraprastha university, new delhi
pes university, bengaluru
army institute of technology, pune
c. v. raman college of engineering, bhubaneswar
iiit allahabad,
pandit dwarka prasad mishra indian institute of information technology, design and manufacturing (iiitdm) jabalpur
nit agartala,
government college of technology, coimbatore
shri mata vaishno devi university, jammu & kashmir
veermata jijabai technological institute, mumbai
kalasalingam academy of research and higher education, tamil nadu
university college of engineering, andhra pradesh
nit meghalaya,
new horizon college of engineering, bengaluru
nitte meenakshi institute of technology, bengaluru
VJTI, mumbai
